Mound,Burial,Estimated,Estimated,Grave,Placement,Material accomp.,Other
stage,no.,sex,age,preparation,,,treatment/
"",,,,(tomb no.),,,info.
2,39,Male,Young,Clay pit,Extended,–,–
"",,,adult,,,,
2,78,Male,Young,Laid on,Extended,–,–
"",,,adult,"bark,",,,
"",,,,covered,,,
"",,,,w. earth,,,
2,85,Male,Young,Laid on,Extended,Bone handle,–
"",,,adult,"bark,",,,
"",,,,covered,,,
"",,,,w. earth,,,
2,87,Male,Adult,Laid on,Extended,–,–
"",,,,"bark,",,,
"",,,,Covered,,,
"",,,,w. Earth,,,
2,88,Female,Juvenile,–,Disturbed,–,–
2,89,Male,Child,–,Disturbed,–,–
2,88A,Male,Child,–,Disturbed,–,–
3,36,Male,Mature,Log tomb,Extended,–,–
"",,,adult,(15),,,
3,37,Male,Young,Log tomb,Extended,–,–
"",,,adult,(15),,,
3,38,Male,Young,Log tomb,?,–,Skull only;
"",,,adult,(15),,,covered
"",,,,,,,w. red
"",,,,,,,ochre
3,40,Male?,Young,Log tomb,Extended,–,–
"",,,adult,(11),,,
3,54,Male,Adult,Log tomb,Extended,–,–
"",,,,(34),,,
3,61,Male,Old adult,Log tomb,Extended,–,–
"",,,,(36),,,
3,63,Female,Young,Log tomb,Extended,52-shell beads;,–
"",,,adult,(30),,4-graphite frags.,
3,74,Male,Young,Log tomb,Extended,–,–
"",,,adult,(28),,,
3,75,Female,Young,Log tomb,Extended,–,–
"",,,adult,(28),,,
3,76,Male,Mature,Log tomb,Disturbed,–,Bones
"",,,adult,(28),,,scattered
"",,,,,,,in clay fill
3,79,Male,Young,Log tomb,Extended,Pot sherd,–
"",,,adult,(46),,,
3,80,?,Adult,Log tomb,Disturbed,–,–
"",,,,(46),,,
3,81,?,Adult,Log tomb,Extended,–,–
"",,,,(49),,,
3,82,?,Adult,,Extended,–,Skull only
Mound,Burial,Estimated,Estimated,Grave,Placement,Material accomp.,Other
stage,no.,sex,age,preparation,,,treatment/
"",,,,(tomb no.),,,info.
"",,,,Log tomb,,,
"",,,,(48),,,
